ID;Time;Excluded;Exp;List;Condition;Item;Rating1;Answer1;Answer1Name;Answer2;Answer2Name;Answer3;Answer3Name;Answer4;Answer4Name;Canonical;Shift;Split;NC
h54j8s6fmqc3nk4r7i7rqod2p4;1,60E+13;0;cs;2;1;6;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
efpqp8op9hfv6vlnc3i2v13575;1,60E+13;0;cs;2;1;6;6;0;canon;1;split;0;shift;0;nc;0;0;1;0
6a467olq3p6iks3jgardtnfoj5;1,60E+13;0;cs;2;1;6;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
q9nprsitmd17hjqh5bstld4493;1,60E+13;0;cs;2;1;6;5;1;canon;0;split;0;shift;0;nc;1;0;0;0
jumt05u30tgqqufo1s5cjh7vd3;1,60E+13;0;cs;2;1;6;5;1;canon;1;split;1;shift;1;nc;1;1;1;1
bnmcifj5fpposk8d1eu584kt12;1,60E+13;0;cs;2;1;6;7;0;canon;1;split;0;shift;0;nc;0;0;1;0
37j68qd48roq357i8m4fobi0t4;1,60E+13;1;cs;2;1;6;5;1;canon;0;split;0;shift;0;nc;1;0;0;0
4eo7j91umock5t5r2reitdq5m0;1,60E+13;0;cs;2;1;6;6;1;canon;0;split;0;shift;0;nc;1;0;0;0
bkr5618vrtu2ff91h4rj75cic2;1,60E+13;1;cs;2;1;6;6;1;canon;0;split;0;shift;0;nc;1;0;0;0
hqo6q10ms5lidhavl3mgs7kcd0;1,60E+13;0;cs;2;1;6;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
ergkvlldc0ou89plbk79j49ck1;1,60E+13;0;cs;2;1;6;6;1;canon;0;split;0;shift;0;nc;1;0;0;0
7aoc8251emed1op9emkmhjl071;1,60E+13;0;cs;2;1;6;7;0;canon;1;split;0;shift;0;nc;0;0;1;0
v85qv9srt4u0jtnh73ipikjse0;1,60E+13;0;cs;2;1;6;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
qsq0p0j280jcocvh67r09bds10;1,60E+13;0;cs;2;1;6;7;1;canon;0;split;0;shift;0;nc;1;0;0;0
